base_date,emd_cd,temp,rain
2019-01-31,2019-01-31,50130310.0,165.29999999999995,26.0
2019-02-28,2019-02-28,50130310.0,181.09999999999997,47.0
2019-03-31,2019-03-31,50130310.0,294.4,43.5
2019-04-30,2019-04-30,50130310.0,409.9,36.5
2019-05-31,2019-05-31,50130310.0,566.1999999999999,193.5
2019-06-30,2019-06-30,50130310.0,602.4,188.0
2019-07-31,2019-07-31,50130310.0,726.1999999999999,297.0
2019-08-31,2019-08-31,50130310.0,792.1,411.0
2019-09-30,2019-09-30,50130310.0,678.3,433.0
2019-10-31,2019-10-31,50130310.0,552.9999999999999,136.0
2019-11-30,2019-11-30,50130310.0,389.80000000000007,29.0
2019-12-31,2019-12-31,50130310.0,261.40000000000003,82.0
2019-01-31,2019-01-31,50130320.0,168.70000000000007,17.0
2019-02-28,2019-02-28,50130320.0,183.29999999999998,83.0
2019-03-31,2019-03-31,50130320.0,304.59999999999997,124.0
2019-04-30,2019-04-30,50130320.0,392.5,129.0
2019-05-31,2019-05-31,50130320.0,579.3000000000001,137.0
2019-06-30,2019-06-30,50130320.0,619.3,168.0
2019-07-31,2019-07-31,50130320.0,742.8000000000001,440.5
2019-08-31,2019-08-31,50130320.0,821.0999999999999,321.5
2019-09-30,2019-09-30,50130320.0,702.5999999999998,534.5
2019-10-31,2019-10-31,50130320.0,576.0999999999998,292.5
2019-11-30,2019-11-30,50130320.0,401.3,29.0
2019-12-31,2019-12-31,50130320.0,257.29999999999995,96.5
2019-01-31,2019-01-31,50130510.0,219.40000000000006,22.5
2019-02-28,2019-02-28,50130510.0,239.2,46.0
2019-03-31,2019-03-31,50130510.0,337.0000000000001,62.5
2019-04-30,2019-04-30,50130510.0,425.6,76.5
2019-05-31,2019-05-31,50130510.0,592.1999999999999,484.5
2019-06-30,2019-06-30,50130510.0,615.4999999999999,210.5
2019-07-31,2019-07-31,50130510.0,720.3000000000001,468.5
2019-08-31,2019-08-31,50130510.0,796.5000000000002,343.5
2019-09-30,2019-09-30,50130510.0,690.3000000000001,423.0
2019-10-31,2019-10-31,50130510.0,580.8999999999999,132.5
2019-11-30,2019-11-30,50130510.0,429.9,31.5
2019-12-31,2019-12-31,50130510.0,309.5,99.5
2019-01-31,2019-01-31,50130520.0,219.40000000000006,22.5
2019-02-28,2019-02-28,50130520.0,239.2,46.0
2019-03-31,2019-03-31,50130520.0,337.0000000000001,62.5
2019-04-30,2019-04-30,50130520.0,425.6,76.5
2019-05-31,2019-05-31,50130520.0,592.1999999999999,484.5
2019-06-30,2019-06-30,50130520.0,615.4999999999999,210.5
2019-07-31,2019-07-31,50130520.0,720.3000000000001,468.5
2019-08-31,2019-08-31,50130520.0,796.5000000000002,343.5
2019-09-30,2019-09-30,50130520.0,690.3000000000001,423.0
2019-10-31,2019-10-31,50130520.0,580.8999999999999,132.5
2019-11-30,2019-11-30,50130520.0,429.9,31.5
2019-12-31,2019-12-31,50130520.0,309.5,99.5
2019-01-31,2019-01-31,50130530.0,219.40000000000006,22.5
2019-02-28,2019-02-28,50130530.0,239.2,46.0
2019-03-31,2019-03-31,50130530.0,337.0000000000001,62.5
2019-04-30,2019-04-30,50130530.0,425.6,76.5
2019-05-31,2019-05-31,50130530.0,592.1999999999999,484.5
2019-06-30,2019-06-30,50130530.0,615.4999999999999,210.5
2019-07-31,2019-07-31,50130530.0,720.3000000000001,468.5
2019-08-31,2019-08-31,50130530.0,796.5000000000002,343.5
2019-09-30,2019-09-30,50130530.0,690.3000000000001,423.0
2019-10-31,2019-10-31,50130530.0,580.8999999999999,132.5
2019-11-30,2019-11-30,50130530.0,429.9,31.5
2019-12-31,2019-12-31,50130530.0,309.5,99.5
2019-01-31,2019-01-31,50130540.0,219.40000000000006,22.5
2019-02-28,2019-02-28,50130540.0,239.2,46.0
2019-03-31,2019-03-31,50130540.0,337.0000000000001,62.5
2019-04-30,2019-04-30,50130540.0,425.6,76.5
2019-05-31,2019-05-31,50130540.0,592.1999999999999,484.5
2019-06-30,2019-06-30,50130540.0,615.4999999999999,210.5
2019-07-31,2019-07-31,50130540.0,720.3000000000001,468.5
2019-08-31,2019-08-31,50130540.0,796.5000000000002,343.5
2019-09-30,2019-09-30,50130540.0,690.3000000000001,423.0
2019-10-31,2019-10-31,50130540.0,580.8999999999999,132.5
