base_date,emd_cd,detached,apt,town,multiplex,commercial_building
267,2018-07-31,50110530,59279,56760,17641,27893,3647
268,2018-07-31,50110540,59279,56760,17641,27893,3647
269,2018-07-31,50110550,59279,56760,17641,27893,3647
270,2018-07-31,50110560,59279,56760,17641,27893,3647
271,2018-07-31,50110570,59279,56760,17641,27893,3647
272,2018-07-31,50110580,59279,56760,17641,27893,3647
273,2018-07-31,50110590,59279,56760,17641,27893,3647
274,2018-07-31,50110600,59279,56760,17641,27893,3647
275,2018-07-31,50110610,59279,56760,17641,27893,3647
276,2018-07-31,50110620,59279,56760,17641,27893,3647
277,2018-07-31,50110630,59279,56760,17641,27893,3647
278,2018-07-31,50110640,59279,56760,17641,27893,3647
279,2018-07-31,50110650,59279,56760,17641,27893,3647
280,2018-07-31,50110660,59279,56760,17641,27893,3647
281,2018-07-31,50110670,59279,56760,17641,27893,3647
282,2018-07-31,50110680,59279,56760,17641,27893,3647
283,2018-07-31,50110690,59279,56760,17641,27893,3647
284,2018-07-31,50130250,33440,17439,9305,5947,1717
285,2018-07-31,50130253,33440,17439,9305,5947,1717
286,2018-07-31,50130259,33440,17439,9305,5947,1717
287,2018-07-31,50130310,33440,17439,9305,5947,1717
288,2018-07-31,50130320,33440,17439,9305,5947,1717
289,2018-07-31,50130510,33440,17439,9305,5947,1717
290,2018-07-31,50130520,33440,17439,9305,5947,1717
291,2018-07-31,50130530,33440,17439,9305,5947,1717
292,2018-07-31,50130540,33440,17439,9305,5947,1717
293,2018-07-31,50130550,33440,17439,9305,5947,1717
294,2018-07-31,50130560,33440,17439,9305,5947,1717
295,2018-07-31,50130570,33440,17439,9305,5947,1717
296,2018-07-31,50130580,33440,17439,9305,5947,1717
297,2018-07-31,50130590,33440,17439,9305,5947,1717
298,2018-07-31,50130600,33440,17439,9305,5947,1717
299,2018-07-31,50130610,33440,17439,9305,5947,1717
300,2018-07-31,50130620,33440,17439,9305,5947,1717
301,2018-08-31,50110250,59279,56760,17641,27893,3647
302,2018-08-31,50110253,59279,56760,17641,27893,3647
303,2018-08-31,50110256,59279,56760,17641,27893,3647
304,2018-08-31,50110259,59279,56760,17641,27893,3647
305,2018-08-31,50110310,59279,56760,17641,27893,3647
306,2018-08-31,50110320,59279,56760,17641,27893,3647
307,2018-08-31,50110330,59279,56760,17641,27893,3647
308,2018-08-31,50110510,59279,56760,17641,27893,3647
309,2018-08-31,50110520,59279,56760,17641,27893,3647
310,2018-08-31,50110530,59279,56760,17641,27893,3647
311,2018-08-31,50110540,59279,56760,17641,27893,3647
312,2018-08-31,50110550,59279,56760,17641,27893,3647
313,2018-08-31,50110560,59279,56760,17641,27893,3647
314,2018-08-31,50110570,59279,56760,17641,27893,3647
315,2018-08-31,50110580,59279,56760,17641,27893,3647
316,2018-08-31,50110590,59279,56760,17641,27893,3647
317,2018-08-31,50110600,59279,56760,17641,27893,3647
318,2018-08-31,50110610,59279,56760,17641,27893,3647
319,2018-08-31,50110620,59279,56760,17641,27893,3647
320,2018-08-31,50110630,59279,56760,17641,27893,3647
321,2018-08-31,50110640,59279,56760,17641,27893,3647
322,2018-08-31,50110650,59279,56760,17641,27893,3647
323,2018-08-31,50110660,59279,56760,17641,27893,3647
324,2018-08-31,50110670,59279,56760,17641,27893,3647
325,2018-08-31,50110680,59279,56760,17641,27893,3647
326,2018-08-31,50110690,59279,56760,17641,27893,3647
327,2018-08-31,50130250,33440,17439,9305,5947,1717
328,2018-08-31,50130253,33440,17439,9305,5947,1717
329,2018-08-31,50130259,33440,17439,9305,5947,1717
330,2018-08-31,50130310,33440,17439,9305,5947,1717
331,2018-08-31,50130320,33440,17439,9305,5947,1717
332,2018-08-31,50130510,33440,17439,9305,5947,1717
333,2018-08-31,50130520,33440,17439,9305,5947,1717
334,2018-08-31,50130530,33440,17439,9305,5947,1717
335,2018-08-31,50130540,33440,17439,9305,5947,1717
336,2018-08-31,50130550,33440,17439,9305,5947,1717
337,2018-08-31,50130560,33440,17439,9305,5947,1717
338,2018-08-31,50130570,33440,17439,9305,5947,1717
339,2018-08-31,50130580,33440,17439,9305,5947,1717
340,2018-08-31,50130590,33440,17439,9305,5947,1717
341,2018-08-31,50130600,33440,17439,9305,5947,1717
342,2018-08-31,50130610,33440,17439,9305,5947,1717
343,2018-08-31,50130620,33440,17439,9305,5947,1717
344,2018-09-30,50110250,59279,56760,17641,27893,3647
345,2018-09-30,50110253,59279,56760,17641,27893,3647
346,2018-09-30,50110256,59279,56760,17641,27893,3647
347,2018-09-30,50110259,59279,56760,17641,27893,3647
348,2018-09-30,50110310,59279,56760,17641,27893,3647
349,2018-09-30,50110320,59279,56760,17641,27893,3647
350,2018-09-30,50110330,59279,56760,17641,27893,3647
351,2018-09-30,50110510,59279,56760,17641,27893,3647
352,2018-09-30,50110520,59279,56760,17641,27893,3647
353,2018-09-30,50110530,59279,56760,17641,27893,3647
354,2018-09-30,50110540,59279,56760,17641,27893,3647
355,2018-09-30,50110550,59279,56760,17641,27893,3647
356,2018-09-30,50110560,59279,56760,17641,27893,3647
357,2018-09-30,50110570,59279,56760,17641,27893,3647
358,2018-09-30,50110580,59279,56760,17641,27893,3647
359,2018-09-30,50110590,59279,56760,17641,27893,3647
360,2018-09-30,50110600,59279,56760,17641,27893,3647
361,2018-09-30,50110610,59279,56760,17641,27893,3647
362,2018-09-30,50110620,59279,56760,17641,27893,3647
363,2018-09-30,50110630,59279,56760,17641,27893,3647
364,2018-09-30,50110640,59279,56760,17641,27893,3647
365,2018-09-30,50110650,59279,56760,17641,27893,3647
366,2018-09-30,50110660,59279,56760,17641,27893,3647
367,2018-09-30,50110670,59279,56760,17641,27893,3647
368,2018-09-30,50110680,59279,56760,17641,27893,3647
369,2018-09-30,50110690,59279,56760,17641,27893,3647
370,2018-09-30,50130250,33440,17439,9305,5947,1717
371,2018-09-30,50130253,33440,17439,9305,5947,1717
372,2018-09-30,50130259,33440,17439,9305,5947,1717
373,2018-09-30,50130310,33440,17439,9305,5947,1717
374,2018-09-30,50130320,33440,17439,9305,5947,1717
375,2018-09-30,50130510,33440,17439,9305,5947,1717
376,2018-09-30,50130520,33440,17439,9305,5947,1717
377,2018-09-30,50130530,33440,17439,9305,5947,1717
378,2018-09-30,50130540,33440,17439,9305,5947,1717
379,2018-09-30,50130550,33440,17439,9305,5947,1717
380,2018-09-30,50130560,33440,17439,9305,5947,1717
381,2018-09-30,50130570,33440,17439,9305,5947,1717
382,2018-09-30,50130580,33440,17439,9305,5947,1717
383,2018-09-30,50130590,33440,17439,9305,5947,1717
384,2018-09-30,50130600,33440,17439,9305,5947,1717
385,2018-09-30,50130610,33440,17439,9305,5947,1717
386,2018-09-30,50130620,33440,17439,9305,5947,1717
387,2018-10-31,50110250,59279,56760,17641,27893,3647
388,2018-10-31,50110253,59279,56760,17641,27893,3647
389,2018-10-31,50110256,59279,56760,17641,27893,3647
390,2018-10-31,50110259,59279,56760,17641,27893,3647
391,2018-10-31,50110310,59279,56760,17641,27893,3647
392,2018-10-31,50110320,59279,56760,17641,27893,3647
393,2018-10-31,50110330,59279,56760,17641,27893,3647
394,2018-10-31,50110510,59279,56760,17641,27893,3647
395,2018-10-31,50110520,59279,56760,17641,27893,3647
396,2018-10-31,50110530,59279,56760,17641,27893,3647
397,2018-10-31,50110540,59279,56760,17641,27893,3647
398,2018-10-31,50110550,59279,56760,17641,27893,3647
399,2018-10-31,50110560,59279,56760,17641,27893,3647
400,2018-10-31,50110570,59279,56760,17641,27893,3647
401,2018-10-31,50110580,59279,56760,17641,27893,3647
402,2018-10-31,50110590,59279,56760,17641,27893,3647
403,2018-10-31,50110600,59279,56760,17641,27893,3647
404,2018-10-31,50110610,59279,56760,17641,27893,3647
405,2018-10-31,50110620,59279,56760,17641,27893,3647
406,2018-10-31,50110630,59279,56760,17641,27893,3647
407,2018-10-31,50110640,59279,56760,17641,27893,3647
408,2018-10-31,50110650,59279,56760,17641,27893,3647
409,2018-10-31,50110660,59279,56760,17641,27893,3647
410,2018-10-31,50110670,59279,56760,17641,27893,3647
411,2018-10-31,50110680,59279,56760,17641,27893,3647
412,2018-10-31,50110690,59279,56760,17641,27893,3647
413,2018-10-31,50130250,33440,17439,9305,5947,1717
414,2018-10-31,50130253,33440,17439,9305,5947,1717
415,2018-10-31,50130259,33440,17439,9305,5947,1717
416,2018-10-31,50130310,33440,17439,9305,5947,1717
417,2018-10-31,50130320,33440,17439,9305,5947,1717
418,2018-10-31,50130510,33440,17439,9305,5947,1717
419,2018-10-31,50130520,33440,17439,9305,5947,1717
420,2018-10-31,50130530,33440,17439,9305,5947,1717
421,2018-10-31,50130540,33440,17439,9305,5947,1717
422,2018-10-31,50130550,33440,17439,9305,5947,1717
423,2018-10-31,50130560,33440,17439,9305,5947,1717
424,2018-10-31,50130570,33440,17439,9305,5947,1717
425,2018-10-31,50130580,33440,17439,9305,5947,1717
426,2018-10-31,50130590,33440,17439,9305,5947,1717
427,2018-10-31,50130600,33440,17439,9305,5947,1717
428,2018-10-31,50130610,33440,17439,9305,5947,1717
429,2018-10-31,50130620,33440,17439,9305,5947,1717
430,2018-11-30,50110250,59279,56760,17641,27893,3647
431,2018-11-30,50110253,59279,56760,17641,27893,3647
432,2018-11-30,50110256,59279,56760,17641,27893,3647
433,2018-11-30,50110259,59279,56760,17641,27893,3647
434,2018-11-30,50110310,59279,56760,17641,27893,3647
435,2018-11-30,50110320,59279,56760,17641,27893,3647
436,2018-11-30,50110330,59279,56760,17641,27893,3647
437,2018-11-30,50110510,59279,56760,17641,27893,3647
438,2018-11-30,50110520,59279,56760,17641,27893,3647
439,2018-11-30,50110530,59279,56760,17641,27893,3647
440,2018-11-30,50110540,59279,56760,17641,27893,3647
441,2018-11-30,50110550,59279,56760,17641,27893,3647
442,2018-11-30,50110560,59279,56760,17641,27893,3647
443,2018-11-30,50110570,59279,56760,17641,27893,3647
444,2018-11-30,50110580,59279,56760,17641,27893,3647
445,2018-11-30,50110590,59279,56760,17641,27893,3647
446,2018-11-30,50110600,59279,56760,17641,27893,3647
447,2018-11-30,50110610,59279,56760,17641,27893,3647
448,2018-11-30,50110620,59279,56760,17641,27893,3647
449,2018-11-30,50110630,59279,56760,17641,27893,3647
450,2018-11-30,50110640,59279,56760,17641,27893,3647
451,2018-11-30,50110650,59279,56760,17641,27893,3647
452,2018-11-30,50110660,59279,56760,17641,27893,3647
453,2018-11-30,50110670,59279,56760,17641,27893,3647
454,2018-11-30,50110680,59279,56760,17641,27893,3647
455,2018-11-30,50110690,59279,56760,17641,27893,3647
456,2018-11-30,50130250,33440,17439,9305,5947,1717
457,2018-11-30,50130253,33440,17439,9305,5947,1717
458,2018-11-30,50130259,33440,17439,9305,5947,1717
459,2018-11-30,50130310,33440,17439,9305,5947,1717
460,2018-11-30,50130320,33440,17439,9305,5947,1717
461,2018-11-30,50130510,33440,17439,9305,5947,1717
462,2018-11-30,50130520,33440,17439,9305,5947,1717
463,2018-11-30,50130530,33440,17439,9305,5947,1717
464,2018-11-30,50130540,33440,17439,9305,5947,1717
465,2018-11-30,50130550,33440,17439,9305,5947,1717
466,2018-11-30,50130560,33440,17439,9305,5947,1717
467,2018-11-30,50130570,33440,17439,9305,5947,1717
468,2018-11-30,50130580,33440,17439,9305,5947,1717
469,2018-11-30,50130590,33440,17439,9305,5947,1717
470,2018-11-30,50130600,33440,17439,9305,5947,1717
471,2018-11-30,50130610,33440,17439,9305,5947,1717
472,2018-11-30,50130620,33440,17439,9305,5947,1717
473,2018-12-31,50110250,59279,56760,17641,27893,3647
474,2018-12-31,50110253,59279,56760,17641,27893,3647
475,2018-12-31,50110256,59279,56760,17641,27893,3647
476,2018-12-31,50110259,59279,56760,17641,27893,3647
477,2018-12-31,50110310,59279,56760,17641,27893,3647
478,2018-12-31,50110320,59279,56760,17641,27893,3647
479,2018-12-31,50110330,59279,56760,17641,27893,3647
480,2018-12-31,50110510,59279,56760,17641,27893,3647
481,2018-12-31,50110520,59279,56760,17641,27893,3647
482,2018-12-31,50110530,59279,56760,17641,27893,3647
483,2018-12-31,50110540,59279,56760,17641,27893,3647
484,2018-12-31,50110550,59279,56760,17641,27893,3647
485,2018-12-31,50110560,59279,56760,17641,27893,3647
486,2018-12-31,50110570,59279,56760,17641,27893,3647
487,2018-12-31,50110580,59279,56760,17641,27893,3647
488,2018-12-31,50110590,59279,56760,17641,27893,3647
489,2018-12-31,50110600,59279,56760,17641,27893,3647
490,2018-12-31,50110610,59279,56760,17641,27893,3647
491,2018-12-31,50110620,59279,56760,17641,27893,3647
492,2018-12-31,50110630,59279,56760,17641,27893,3647
493,2018-12-31,50110640,59279,56760,17641,27893,3647
494,2018-12-31,50110650,59279,56760,17641,27893,3647
